mask,coverage,factor
ellipse,90,-0.9
ellipse,30,-0.88
random_squares_small,90,-0.86
organic,30,-0.65
rectangle,10,-0.6
organic,90,-0.91
random_squares_small,30,-0.25
triangle,70,-0.87
circle,90,-0.91
rows,70,-0.87
columns,70,-0.9
random_squares_large,90,-0.83
random_squares_large,30,-0.33
circle,30,-0.89
rows,30,-0.73
columns,30,-0.9
circle,70,-0.9
columns,90,-0.91
rows,90,-0.9
random_squares_large,70,-0.68
triangle,90,-0.9
organic,70,-0.86
random_squares_small,70,-0.69
triangle,30,-0.82
rectangle,50,-0.88
ellipse,70,-0.89
ellipse,50,-0.87
columns,10,-0.84
rows,10,-0.55
circle,50,-0.9
random_squares_large,50,-0.52
organic,50,-0.8
triangle,10,-0.71
random_squares_small,50,-0.49
rectangle,70,-0.89
organic,10,-0.4
rectangle,90,-0.9
rectangle,30,-0.85
triangle,50,-0.84
random_squares_small,10,-0.06
columns,50,-0.9
rows,50,-0.82
random_squares_large,10,-0.08
circle,10,-0.81
ellipse,10,-0.83